tier,summonerId,summonerName,leaguePoints,wins,losses,puuid
CHALLENGER,6rQ2JndPXyUPUPDuIm7vVHnshU9MBbtDSVJ3RVoqb7xmlts,Kingen,1407,789,685,16SKQrO0LGujpJI-33lp-VhbE7bx7IxwB0xJItiydZdflBvTtxuPKX7HyuPFHF27VBkLHUAiIAxWQA
CHALLENGER,p9fO-N_juFQpkJ4dXhWe7CZgwj6PdNjd10ejccbvyZQHGYl7zC-IV8DhGw,dangyadangyadang,1022,840,754,8wtf-KtHtPItmYL2j6-CMsDFqRDQIQAg28Gxd4_o_edflHmTKc7f15ZhgnvwbszUiC3_CBl1EThN4w
CHALLENGER,owQ3TxmQr2bqJgL7xsnK_JJI16a7l7_PWk-pB37wdHIU8MYM,갱값하는미드,961,1216,1143,s1HVHiSg2musMDvZo1rRQBKKNNiZw0_jsnbCsjBcnlDY-KscPaRQhkE1eognfr2Z6pGuVLgzMm9XDQ
CHALLENGER,jGQsI2SMs3sz9c7BTaZCpgHFEbzg2FEK7VQj1BzVpZoSQQ,근성맨,927,858,782,0fBhNPNQ3k94H6W6-8So9Q2hOkqeFosqHOZPrU5cQgiBvN9hC6DMOzu7ulm6Gu1cRyfJngy4ZP3Kdw
CHALLENGER,wcbqGSw-mjXEY0oZkBBTJephLimbcVCkjqxKTdGIso1JJe4,Ucal,1308,525,431,eqyMu3d_sknHeEiyHvTH6PwjgJwIocMuu_h6yd05075HgaFAi2oha-Zc-uzMYtYlVrG4yWLvrZ3JEw
CHALLENGER,JyRybGthhn9zJ3Np1JGwJYtayVSXGDElaePI9iNj0RnVIQ4,Clever9,883,629,565,8GQRKRKjerJ8Aro1jaJTPSP8r6StLO_nhRgbKKBUsimy_qbZmk2EPZJKrSfAGLEmYuANz9HXdRFzzQ
CHALLENGER,g3Axjq6eoq-7A4o-0uK8PZfRhKDDvIFoDzbvnXVNIyZDvyG1,농심라면다내꺼야,1003,842,768,v52IM9vgvYQAbykHz9B7IUBFlPVAq6k-cZFSAURXIUxyYQmf1GuQ1sHzLE6hEKOSFn3df1az3J2zaQ
CHALLENGER,eQwhl7EfkNQHU8Inxd4ayYwb4dD0Nc0S5eQRoF6HHZIc7Dk,Pnpm,1344,332,248,wQB99Vrlb6oH5jH4Nc93bYSVbVIbE6gpYQvjxWv7LULfCH3wDjdOpWJ2L9RWCaPzPidlL6XNMfs-Wg
CHALLENGER,Tw3lIPhlce497YZHrn1Frm2ahJeZvSdTni3w_CNEOcDdsXy0esPzKpY44Q,Research12,841,364,305,SDPKf8Ec6LcasmiV6JnDRcD93__j3p5uE78RJ0ny3ELgvtuv7sCE9ApymsGVJyF1M6I783hU5xx8tA
CHALLENGER,Puc7_vmuWuYIMiWa9U2mFGfL_jInVaSXVBOD2_2myMRnB3o,KT Castle,1019,818,755,eUFLVdgpyLY-HJmCw1gqWQb5aMkWMSAW0sRpa75R8Ev8AVV4n-D89RDKZUzBOOYvZVAAPWwAzl_Nzw
